en,counts
3.51844812,80
3.52844712,101
3.53844612,89
3.54844512,95
3.55844412,107
3.56844312,109
3.57844212,127
3.58844112,135
3.59844012,153
3.60843912,188
3.61843812,193
3.62843712,237
3.63843612,324
3.64843512,373
3.65843412,429
3.66843312,490
3.67843212,532
3.68843112,601
3.69843012,630
3.70842912,615
3.71842812,556
3.72842712,501
3.73842612,434
3.74842512,368
3.75842412,275
3.76842312,180
3.77842212,170
3.78842112,128
3.79842012,57
3.80841912,7
3.81841812,0
3.82841712,0
3.83841612,0
3.84841512,18
3.85841412,0
3.86841312,0
3.87841212,17
3.88841112,0
3.89841012,0
3.90840912,6
3.91840812,19
3.92840712,38
3.93840612,58
3.94840512,80
3.95840412,101
3.96840312,106
3.97840212,103
3.98840112,103
3.99840012,125
4.00839912,126
4.01839812,123
4.02839712,127
4.03839612,114
4.04839512,91
4.05839412,75
4.06839312,58
4.07839212,34
4.08839112,37
4.09839012,49
4.10838912,21
4.11838812,0
4.12838712,9
4.13838612,0
4.14838512,4
4.15838412,0
4.16838312,0
4.17838212,15
4.18838112,9
4.19838012,0
4.20837912,14
4.21837812,31
4.22837712,43
4.23837612,34
4.24837512,11
4.25837412,26
4.26837312,18
4.27837212,0
4.28837112,0
4.29837012,0
4.30836912,25
4.31836812,26
4.32836712,12
4.33836612,0
4.34836512,5
4.35836412,6
4.36836312,21
4.37836212,21
4.38836112,26
4.39836012,28
4.40835912,34
4.41835812,63
4.42835712,78
4.43835612,93
4.44835512,117
4.45835412,145
4.46835312,125
4.47835212,158
4.48835112,192
4.49835012,191
4.50834912,157
4.51834812,181
4.52834712,183
4.53834612,172
4.54834512,129
4.55834412,115
4.56834312,76
4.57834212,58
4.58834112,46
4.59834012,41
4.60833912,19
4.61833812,0
4.62833712,11
4.63833612,0
4.64833512,12
4.65833412,7
4.66833312,0
4.67833212,8
4.68833112,16
4.69833012,7
4.70832912,0
4.71832812,0
4.72832712,1
4.73832612,1
4.74832512,9
4.75832412,0
4.76832312,14
4.77832212,49
4.78832112,67
4.79832012,152
4.80831912,274
4.81831812,449
4.82831712,705
4.83831612,1061
4.84831512,1533
4.85831412,2095
4.86831312,2718
4.87831212,3433
4.88831112,4365
4.89831012,5339
4.90830912,6274
4.91830812,7147
4.92830712,7782
4.93830612,8338
4.94830512,8577
4.95830412,8503
4.96830312,8189
4.97830212,7792
4.98830112,7028
4.99830012,6192
5.00829912,5351
5.01829812,4431
5.02829712,3589
5.03829612,2793
5.04829512,1968
5.05829412,1403
5.06829312,981
5.07829212,710
5.08829112,454
5.09829012,231
5.10828912,88
5.11828812,68
5.12828712,16
5.13828612,0
5.14828512,1
5.15828412,0
5.16828312,7
5.17828212,0
5.18828112,5
5.19828012,0
5.20827912,24
5.21827812,36
5.22827712,36
5.23827612,66
5.24827512,201
5.25827412,314
5.26827312,471
5.27827212,683
5.28827112,996
5.29827012,1402
5.30826912,1986
5.31826812,2705
5.32826712,3521
5.33826612,4467
5.34826512,5666
5.35826412,6877
5.36826312,7957
5.37826212,8956
5.38826112,10053
5.39826012,10627
5.40825912,11037
5.41825812,11288
5.42825712,11084
5.43825612,10386
5.44825512,9633
5.45825412,8780
5.46825312,7589
5.47825212,6451
5.48825112,5483
5.49825012,4349
5.50824912,3297
5.51824812,2432
5.52824712,1808
5.53824612,1263
5.54824512,858
5.55824412,614
5.56824312,398
5.57824212,254
5.58824112,211
5.59824012,135
5.60823912,2
5.61823812,6
5.62823712,77
5.63823612,76
5.64823512,29
5.65823412,50
5.66823312,28
5.67823212,41
5.68823112,29
5.69823012,49
5.70822912,136
5.71822812,211
5.72822712,269
5.73822612,298
5.74822512,441
5.75822412,741
5.76822312,1079
5.77822212,1484
5.78822112,2064
5.79822012,2751
5.80821912,3599
5.81821812,4735
5.82821712,5741
5.83821612,6854
5.84821512,8004
5.85821412,9106
