en,counts
0.00879912,217017
0.01879812,217247
0.02879712,152890
0.03879612,62858
0.04879512,-19754
0.05879412,-75151
0.06879312,-96484
0.07879212,-92660
0.08879112,-73856
0.09879012,-52150
0.10878912,-33266
0.11878812,-19405
0.12878712,-10461
0.13878612,-5266
0.14878512,-2471
0.15878412,-1087
0.16878312,-447
0.17878212,-169
0.18878112,-61
0.19878012,-22
0.20877912,-6
0.21877812,-4
0.22877712,-4
0.23877612,6
0.24877512,3
0.25877412,0
0.26877312,0
0.27877212,0
0.28877112,-3
0.29877012,-2
0.30876912,-9
0.31876812,-20
0.32876712,-34
0.33876612,-51
0.34876512,-65
0.35876412,-38
0.36876312,297
0.37876212,295
0.38876112,288
0.39876012,279
0.40875912,268
0.41875812,263
0.42875712,276
0.43875612,270
0.44875512,218
0.45875412,249
0.46875312,207
0.47875212,235
0.48875112,203
0.49875012,207
0.50874912,180
0.51874812,227
0.52874712,163
0.53874612,186
0.54874512,170
0.55874412,159
0.56874312,159
0.57874212,147
0.58874112,162
0.59874012,83
0.60873912,116
0.61873812,115
0.62873712,120
0.63873612,78
0.64873512,103
0.65873412,112
0.66873312,109
0.67873212,92
0.68873112,77
0.69873012,68
0.70872912,68
0.71872812,86
0.72872712,45
0.73872612,62
0.74872512,40
0.75872412,59
0.76872312,35
0.77872212,22
0.78872112,76
0.79872012,-22
0.80871912,45
0.81871812,41
0.82871712,27
0.83871612,19
0.84871512,37
0.85871412,29
0.86871312,7
0.87871212,42
0.88871112,33
0.89871012,17
0.90870912,17
0.91870812,15
0.92870712,14
0.93870612,-11
0.94870512,24
0.95870412,26
0.96870312,10
0.97870212,-16
0.98870112,20
0.99870012,12
1.00869912,23
1.01869812,17
1.02869712,-9
1.03869612,20
1.04869512,10
1.05869412,1
1.06869312,-3
1.07869212,5
1.08869112,3
1.09869012,16
1.10868912,18
1.11868812,24
1.12868712,21
1.13868612,10
1.14868512,0
1.15868412,11
1.16868312,8
1.17868212,16
1.18868112,16
1.19868012,6
1.20867912,15
1.21867812,16
1.22867712,19
1.23867612,14
1.24867512,-1
1.25867412,21
1.26867312,18
1.27867212,-6
1.28867112,2
1.29867012,16
1.30866912,2
1.31866812,-5
1.32866712,17
1.33866612,10
1.34866512,3
1.35866412,8
1.36866312,1
1.37866212,-9
1.38866112,-5
1.39866012,-3
1.40865912,2
1.41865812,9
1.42865712,12
1.43865612,18
1.44865512,9
1.45865412,7
1.46865312,27
1.47865212,41
1.48865112,50
1.49865012,45
1.50864912,36
1.51864812,25
1.52864712,16
1.53864612,11
1.54864512,12
1.55864412,0
1.56864312,-7
1.57864212,-10
1.58864112,21
1.59864012,8
1.60863912,-18
1.61863812,7
1.62863712,9
1.63863612,1
1.64863512,-1
1.65863412,13
1.66863312,14
1.67863212,14
1.68863112,2
1.69863012,-19
1.70862912,-1
1.71862812,4
1.72862712,22
1.73862612,9
1.74862512,8
1.75862412,6
1.76862312,-10
1.77862212,18
1.78862112,0
1.79862012,0
1.80861912,20
1.81861812,7
1.82861712,-1
1.83861612,-7
1.84861512,20
1.85861412,0
1.86861312,16
1.87861212,-3
1.88861112,0
1.89861012,30
1.90860912,20
1.91860812,-2
1.92860712,9
1.93860612,-4
1.94860512,-2
1.95860412,14
1.96860312,-5
1.97860212,0
1.98860112,24
1.99860012,9
2.00859912,10
2.01859812,7
2.02859712,0
2.03859612,6
2.04859512,11
2.05859412,11
2.06859312,10
2.07859212,-7
2.08859112,-8
2.09859012,15
2.10858912,-5
2.11858812,5
2.12858712,0
2.13858612,-3
2.14858512,8
2.15858412,7
2.16858312,1
2.17858212,-2
2.18858112,-2
2.19858012,-1
2.20857912,3
2.21857812,-5
2.22857712,2
2.23857612,9
2.24857512,12
2.25857412,9
2.26857312,16
2.27857212,16
2.28857112,2
2.29857012,7
2.30856912,15
2.31856812,4
2.32856712,12
2.33856612,19
2.34856512,11
2.35856412,5
2.36856312,13
2.37856212,1
2.38856112,-4
2.39856012,0
2.40855912,0
2.41855812,2
2.42855712,-1
2.43855612,-3
2.44855512,6
2.45855412,2
2.46855312,-7
2.47855212,-7
2.48855112,-7
2.49855012,-6
2.50854912,-5
2.51854812,-16
2.52854712,-21
2.53854612,-17
2.54854512,-13
2.55854412,0
2.56854312,29
2.57854212,51
2.58854112,86
2.59854012,132
2.60853912,183
2.61853812,221
2.62853712,259
2.63853612,307
2.64853512,343
2.65853412,402
2.66853312,452
2.67853212,458
2.68853112,464
2.69853012,471
2.70852912,416
2.71852812,399
2.72852712,348
2.73852612,285
2.74852512,275
2.75852412,255
2.76852312,216
2.77852212,222
2.78852112,277
2.79852012,304
2.80851912,305
2.81851812,307
2.82851712,343
2.83851612,355
2.84851512,314
2.85851412,316
2.86851312,310
2.87851212,277
2.88851112,236
2.89851012,180
2.90850912,197
2.91850812,183
2.92850712,149
2.93850612,130
2.94850512,147
2.95850412,163
2.96850312,124
2.97850212,136
2.98850112,123
2.99850012,87
3.00849912,70
3.01849812,46
3.02849712,5
3.03849612,-10
3.04849512,-13
3.05849412,-8
3.06849312,-12
3.07849212,-12
3.08849112,-15
3.09849012,-1
3.10848912,12
3.11848812,36
3.12848712,51
3.13848612,34
3.14848512,55
3.15848412,44
3.16848312,20
3.17848212,27
3.18848112,40
3.19848012,26
3.20847912,-6
3.21847812,-14
3.22847712,-11
3.23847612,0
3.24847512,-1
3.25847412,-11
3.26847312,-4
3.27847212,0
3.28847112,15
3.29847012,37
3.30846912,36
3.31846812,37
3.32846712,59
3.33846612,52
3.34846512,59
3.35846412,52
3.36846312,29
3.37846212,34
3.38846112,29
3.39846012,12
3.40845912,23
3.41845812,18
3.42845712,16
3.43845612,8
3.44845512,-11
3.45845412,-13
3.46845312,-8
3.47845212,-5
3.48845112,0
3.49845012,-7
3.50844912,-2
3.51844812,8
3.52844712,3
3.53844612,-6
3.54844512,5
3.55844412,7
3.56844312,-8
3.57844212,3
3.58844112,25
3.59844012,48
3.60843912,71
3.61843812,105
3.62843712,135
3.63843612,131
3.64843512,174
3.65843412,232
3.66843312,263
3.67843212,304
3.68843112,310
3.69843012,306
3.70842912,286
3.71842812,264
3.72842712,230
3.73842612,200
3.74842512,166
3.75842412,106
3.76842312,80
3.77842212,61
3.78842112,32
3.79842012,15
3.80841912,13
3.81841812,-5
3.82841712,-13
3.83841612,-17
3.84841512,-9
3.85841412,5
3.86841312,10
3.87841212,13
3.88841112,-17
3.89841012,-13
3.90840912,4
3.91840812,4
3.92840712,21
3.93840612,17
3.94840512,20
3.95840412,26
3.96840312,27
3.97840212,42
3.98840112,44
3.99840012,46
4.00839912,46
4.01839812,53
4.02839712,66
4.03839612,43
4.04839512,53
4.05839412,52
4.06839312,37
4.07839212,39
4.08839112,40
4.09839012,25
4.10838912,4
4.11838812,9
4.12838712,10
4.13838612,4
4.14838512,0
4.15838412,4
4.16838312,-18
4.17838212,-12
4.18838112,9
4.19838012,13
4.20837912,0
4.21837812,0
4.22837712,24
4.23837612,14
4.24837512,-9
4.25837412,-3
4.26837312,-8
4.27837212,0
4.28837112,26
4.29837012,19
4.30836912,2
4.31836812,-10
4.32836712,-16
4.33836612,15
4.34836512,7
4.35836412,6
4.36836312,1
4.37836212,-13
4.38836112,1
4.39836012,6
4.40835912,38
4.41835812,67
4.42835712,28
4.43835612,28
4.44835512,38
4.45835412,63
4.46835312,98
4.47835212,123
4.48835112,143
4.49835012,130
4.50834912,135
4.51834812,162
4.52834712,149
4.53834612,136
4.54834512,111
4.55834412,95
4.56834312,78
4.57834212,88
4.58834112,34
4.59834012,37
4.60833912,11
4.61833812,-1
4.62833712,23
4.63833612,16
4.64833512,-6
4.65833412,-22
4.66833312,0
4.67833212,5
4.68833112,-1
4.69833012,22
4.70832912,3
4.71832812,12
4.72832712,24
4.73832612,0
4.74832512,0
4.75832412,-22
4.76832312,-9
4.77832212,5
4.78832112,-11
4.79832012,10
4.80831912,-42
4.81831812,-34
4.82831712,17
4.83831612,47
4.84831512,81
4.85831412,153
4.86831312,196
4.87831212,297
4.88831112,373
4.89831012,435
4.90830912,485
4.91830812,585
4.92830712,657
4.93830612,634
4.94830512,636
4.95830412,684
4.96830312,660
4.97830212,588
4.98830112,523
4.99830012,508
5.00829912,411
5.01829812,336
5.02829712,276
5.03829612,170
5.04829512,109
5.05829412,90
5.06829312,37
5.07829212,3
5.08829112,-7
5.09829012,-23
5.10828912,-28
5.11828812,-11
5.12828712,2
5.13828612,1
5.14828512,-14
5.15828412,27
5.16828312,35
5.17828212,-16
5.18828112,-17
5.19828012,25
5.20827912,-28
5.21827812,5
5.22827712,-4
5.23827612,-45
5.24827512,-30
5.25827412,2
5.26827312,14
5.27827212,106
5.28827112,128
5.29827012,127
5.30826912,175
5.31826812,262
5.32826712,266
5.33826612,358
5.34826512,467
5.35826412,530
5.36826312,607
5.37826212,731
5.38826112,789
5.39826012,864
5.40825912,925
5.41825812,889
5.42825712,811
5.43825612,800
5.44825512,760
5.45825412,699
5.46825312,619
5.47825212,537
5.48825112,400
5.49825012,378
5.50824912,272
5.51824812,177
5.52824712,149
5.53824612,114
5.54824512,81
5.55824412,42
5.56824312,75
5.57824212,26
5.58824112,-48
5.59824012,-11
5.60823912,16
5.61823812,-4
5.62823712,4
5.63823612,10
5.64823512,42
5.65823412,26
5.66823312,-20
5.67823212,-27
5.68823112,18
5.69823012,90
5.70822912,2
5.71822812,-60
5.72822712,-77
5.73822612,-15
5.74822512,9
5.75822412,52
5.76822312,114
5.77822212,113
5.78822112,197
5.79822012,184
5.80821912,253
5.81821812,356
5.82821712,413
5.83821612,550
5.84821512,682
5.85821412,753
5.86821312,803
5.87821212,877
5.88821112,890
5.89821012,875
5.90820912,912
5.91820812,869
5.92820712,788
5.93820612,723
5.94820512,641
5.95820412,561
5.96820312,564
5.97820212,506
5.98820112,348
5.99820012,266
6.00819912,263
6.01819812,228
6.02819712,101
6.03819612,64
6.04819512,48
6.05819412,1
6.06819312,-7
6.07819212,-39
6.08819112,-30
6.09819012,-24
6.10818912,3
6.11818812,-19
6.12818712,5
6.13818612,-8
6.14818512,0
6.15818412,47
6.16818312,28
6.17818212,57
6.18818112,65
6.19818012,-16
6.20817912,-5
6.21817812,45
6.22817712,12
6.23817612,-44
6.24817512,-47
6.25817412,12
6.26817312,136
6.27817212,207
6.28817112,294
6.29817012,335
6.30816912,323
6.31816812,434
6.32816712,608
6.33816612,675
6.34816512,778
6.35816412,897
6.36816312,991
