en,counts
0.00879912,618720
0.01879812,554845
0.02879712,426679
0.03879612,266661
0.04879512,113737
0.05879412,0
0.06879312,0
0.07879212,0
0.08879112,0
0.09879012,0
0.10878912,0
0.11878812,0
0.12878712,0
0.13878612,0
0.14878512,0
0.15878412,0
0.16878312,0
0.17878212,0
0.18878112,0
0.19878012,4
0.20877912,0
0.21877812,4
0.22877712,3
0.23877612,1
0.24877512,5
0.25877412,1
0.26877312,1
0.27877212,0
0.28877112,0
0.29877012,0
0.30876912,2
0.31876812,4
0.32876712,0
0.33876612,0
0.34876512,0
0.35876412,0
0.36876312,342
0.37876212,291
0.38876112,285
0.39876012,313
0.40875912,320
0.41875812,310
0.42875712,317
0.43875612,316
0.44875512,311
0.45875412,307
0.46875312,325
0.47875212,336
0.48875112,264
0.49875012,294
0.50874912,291
0.51874812,268
0.52874712,289
0.53874612,266
0.54874512,247
0.55874412,290
0.56874312,240
0.57874212,260
0.58874112,247
0.59874012,271
0.60873912,257
0.61873812,239
0.62873712,237
0.63873612,215
0.64873512,244
0.65873412,226
0.66873312,211
0.67873212,203
0.68873112,229
0.69873012,209
0.70872912,194
0.71872812,181
0.72872712,235
0.73872612,198
0.74872512,184
0.75872412,197
0.76872312,191
0.77872212,168
0.78872112,207
0.79872012,170
0.80871912,170
0.81871812,182
0.82871712,183
0.83871612,187
0.84871512,184
0.85871412,180
0.86871312,162
0.87871212,171
0.88871112,137
0.89871012,128
0.90870912,143
0.91870812,146
0.92870712,166
0.93870612,146
0.94870512,137
0.95870412,128
0.96870312,141
0.97870212,158
0.98870112,118
0.99870012,127
1.00869912,139
1.01869812,157
1.02869712,98
1.03869612,135
1.04869512,125
1.05869412,129
1.06869312,128
1.07869212,126
1.08869112,132
1.09869012,121
1.10868912,117
1.11868812,105
1.12868712,105
1.13868612,86
1.14868512,122
1.15868412,103
1.16868312,96
1.17868212,102
1.18868112,95
1.19868012,104
1.20867912,94
1.21867812,83
1.22867712,87
1.23867612,98
1.24867512,91
1.25867412,79
1.26867312,80
1.27867212,77
1.28867112,68
1.29867012,71
1.30866912,60
1.31866812,67
1.32866712,72
1.33866612,87
1.34866512,68
1.35866412,54
1.36866312,65
1.37866212,66
1.38866112,45
1.39866012,37
1.40865912,73
1.41865812,57
1.42865712,49
1.43865612,53
1.44865512,49
1.45865412,59
1.46865312,69
1.47865212,54
1.48865112,53
1.49865012,70
1.50864912,68
1.51864812,58
1.52864712,49
1.53864612,39
1.54864512,41
1.55864412,33
1.56864312,26
1.57864212,8
1.58864112,25
1.59864012,26
1.60863912,29
1.61863812,5
1.62863712,7
1.63863612,10
1.64863512,8
1.65863412,10
1.66863312,12
1.67863212,24
1.68863112,6
1.69863012,7
1.70862912,22
1.71862812,26
1.72862712,6
1.73862612,0
1.74862512,23
1.75862412,19
1.76862312,21
1.77862212,0
1.78862112,10
1.79862012,8
1.80861912,0
1.81861812,27
1.82861712,15
1.83861612,22
1.84861512,18
1.85861412,17
1.86861312,22
1.87861212,25
1.88861112,24
1.89861012,34
1.90860912,12
1.91860812,30
1.92860712,12
1.93860612,12
1.94860512,26
1.95860412,30
1.96860312,18
1.97860212,32
1.98860112,17
1.99860012,13
2.00859912,25
2.01859812,25
2.02859712,22
2.03859612,16
2.04859512,4
2.05859412,16
2.06859312,23
2.07859212,34
2.08859112,19
2.09859012,5
2.10858912,8
2.11858812,25
2.12858712,15
2.13858612,0
2.14858512,7
2.15858412,25
2.16858312,17
2.17858212,13
2.18858112,3
2.19858012,15
2.20857912,20
2.21857812,18
2.22857712,0
2.23857612,4
2.24857512,13
2.25857412,19
2.26857312,13
2.27857212,15
2.28857112,21
2.29857012,11
2.30856912,9
2.31856812,3
2.32856712,0
2.33856612,1
2.34856512,15
2.35856412,14
2.36856312,13
2.37856212,11
2.38856112,9
2.39856012,10
2.40855912,0
2.41855812,0
2.42855712,4
2.43855612,4
2.44855512,0
2.45855412,0
2.46855312,4
2.47855212,0
2.48855112,0
2.49855012,0
2.50854912,2
2.51854812,0
2.52854712,7
2.53854612,38
2.54854512,65
2.55854412,98
2.56854312,149
2.57854212,212
2.58854112,265
2.59854012,344
2.60853912,428
2.61853812,462
2.62853712,502
2.63853612,558
2.64853512,611
2.65853412,647
2.66853312,638
2.67853212,671
2.68853112,646
2.69853012,580
2.70852912,563
2.71852812,530
2.72852712,497
2.73852612,451
2.74852512,404
2.75852412,344
2.76852312,306
2.77852212,357
2.78852112,373
2.79852012,360
2.80851912,377
2.81851812,404
2.82851712,441
2.83851612,459
2.84851512,442
2.85851412,444
2.86851312,432
2.87851212,423
2.88851112,409
2.89851012,398
2.90850912,450
2.91850812,506
2.92850712,538
2.93850612,594
2.94850512,694
2.95850412,720
2.96850312,756
2.97850212,774
2.98850112,770
2.99850012,732
3.00849912,632
3.01849812,572
3.02849712,512
3.03849612,448
3.04849512,433
3.05849412,427
3.06849312,391
3.07849212,437
3.08849112,488
3.09849012,579
3.10848912,706
3.11848812,751
3.12848712,820
3.13848612,863
3.14848512,837
3.15848412,805
3.16848312,747
3.17848212,661
3.18848112,572
3.19848012,491
3.20847912,397
3.21847812,323
3.22847712,271
3.23847612,237
3.24847512,186
3.25847412,175
3.26847312,218
3.27847212,240
3.28847112,270
3.29847012,325
3.30846912,321
3.31846812,360
3.32846712,385
3.33846612,385
3.34846512,368
3.35846412,351
3.36846312,297
3.37846212,252
3.38846112,197
3.39846012,160
3.40845912,131
3.41845812,126
3.42845712,112
3.43845612,74
3.44845512,38
3.45845412,23
3.46845312,19
3.47845212,25
3.48845112,6
3.49845012,8
3.50844912,34
3.51844812,35
3.52844712,30
3.53844612,41
3.54844512,44
3.55844412,41
3.56844312,35
3.57844212,44
3.58844112,66
3.59844012,79
3.60843912,85
3.61843812,115
3.62843712,177
3.63843612,222
3.64843512,236
3.65843412,297
3.66843312,380
3.67843212,408
3.68843112,426
3.69843012,416
3.70842912,377
3.71842812,358
3.72842712,349
3.73842612,298
3.74842512,233
3.75842412,188
3.76842312,140
3.77842212,112
3.78842112,62
3.79842012,17
3.80841912,3
3.81841812,0
3.82841712,3
3.83841612,0
3.84841512,0
3.85841412,0
3.86841312,8
3.87841212,5
3.88841112,0
3.89841012,4
3.90840912,0
3.91840812,17
3.92840712,33
3.93840612,59
3.94840512,75
3.95840412,66
3.96840312,92
3.97840212,103
3.98840112,94
3.99840012,99
4.00839912,93
4.01839812,93
4.02839712,102
4.03839612,91
4.04839512,82
4.05839412,81
4.06839312,81
4.07839212,48
4.08839112,39
4.09839012,40
4.10838912,7
4.11838812,0
4.12838712,0
4.13838612,7
4.14838512,29
4.15838412,18
4.16838312,2
4.17838212,16
4.18838112,17
4.19838012,36
4.20837912,28
4.21837812,0
4.22837712,0
4.23837612,21
4.24837512,21
4.25837412,5
4.26837312,8
4.27837212,25
4.28837112,14
4.29837012,0
4.30836912,1
4.31836812,10
4.32836712,17
4.33836612,14
4.34836512,4
4.35836412,0
4.36836312,0
4.37836212,14
4.38836112,26
4.39836012,34
4.40835912,24
4.41835812,30
4.42835712,57
4.43835612,104
4.44835512,132
4.45835412,148
4.46835312,111
4.47835212,149
4.48835112,157
4.49835012,169
4.50834912,189
4.51834812,159
4.52834712,97
4.53834612,137
4.54834512,132
4.55834412,107
4.56834312,99
4.57834212,70
4.58834112,50
4.59834012,51
4.60833912,56
4.61833812,13
4.62833712,13
4.63833612,2
4.64833512,0
4.65833412,10
4.66833312,0
4.67833212,5
4.68833112,14
4.69833012,8
4.70832912,2
4.71832812,0
4.72832712,10
4.73832612,0
4.74832512,0
4.75832412,5
4.76832312,0
4.77832212,24
4.78832112,47
4.79832012,89
4.80831912,178
4.81831812,322
4.82831712,478
4.83831612,667
4.84831512,949
4.85831412,1383
4.86831312,1822
4.87831212,2255
4.88831112,2970
4.89831012,3583
4.90830912,4124
4.91830812,4601
4.92830712,5083
4.93830612,5452
4.94830512,5553
4.95830412,5595
4.96830312,5405
4.97830212,5048
4.98830112,4553
4.99830012,4019
5.00829912,3538
5.01829812,2830
5.02829712,2255
5.03829612,1785
5.04829512,1311
5.05829412,872
5.06829312,619
5.07829212,441
5.08829112,294
5.09829012,133
5.10828912,28
5.11828812,0
5.12828712,0
5.13828612,22
5.14828512,57
5.15828412,23
5.16828312,0
5.17828212,0
5.18828112,38
5.19828012,23
5.20827912,23
5.21827812,41
5.22827712,6
5.23827612,16
5.24827512,123
5.25827412,223
5.26827312,339
5.27827212,506
5.28827112,706
5.29827012,941
5.30826912,1391
5.31826812,1919
5.32826712,2360
5.33826612,3009
5.34826512,3810
5.35826412,4595
5.36826312,5325
5.37826212,5971
5.38826112,6543
5.39826012,6967
5.40825912,7279
5.41825812,7395
5.42825712,7313
5.43825612,6860
5.44825512,6443
5.45825412,5766
5.46825312,5086
5.47825212,4222
5.48825112,3495
5.49825012,2844
5.50824912,2209
5.51824812,1631
5.52824712,1218
5.53824612,917
5.54824512,592
5.55824412,471
5.56824312,332
5.57824212,204
5.58824112,123
5.59824012,92
5.60823912,88
5.61823812,71
5.62823712,64
5.63823612,109
5.64823512,88
5.65823412,55
5.66823312,0
5.67823212,27
5.68823112,87
5.69823012,81
5.70822912,156
5.71822812,139
