en,counts
0.00879912,602074
0.01879812,537042
0.02879712,410616
0.03879612,255310
0.04879512,103397
0.05879412,0
0.06879312,0
0.07879212,0
0.08879112,0
0.09879012,0
0.10878912,0
0.11878812,0
0.12878712,0
0.13878612,0
0.14878512,0
0.15878412,0
0.16878312,0
0.17878212,0
0.18878112,2
0.19878012,8
0.20877912,5
0.21877812,0
0.22877712,0
0.23877612,2
0.24877512,2
0.25877412,3
0.26877312,3
0.27877212,4
0.28877112,2
0.29877012,0
0.30876912,6
0.31876812,0
0.32876712,2
0.33876612,0
0.34876512,0
0.35876412,0
0.36876312,355
0.37876212,340
0.38876112,336
0.39876012,320
0.40875912,318
0.41875812,318
0.42875712,338
0.43875612,352
0.44875512,313
0.45875412,355
0.46875312,347
0.47875212,294
0.48875112,294
0.49875012,330
0.50874912,286
0.51874812,298
0.52874712,310
0.53874612,297
0.54874512,293
0.55874412,321
0.56874312,259
0.57874212,286
0.58874112,265
0.59874012,267
0.60873912,260
0.61873812,267
0.62873712,253
0.63873612,236
0.64873512,211
0.65873412,218
0.66873312,215
0.67873212,243
0.68873112,190
0.69873012,183
0.70872912,193
0.71872812,219
0.72872712,229
0.73872612,206
0.74872512,219
0.75872412,188
0.76872312,170
0.77872212,170
0.78872112,195
0.79872012,171
0.80871912,183
0.81871812,214
0.82871712,161
0.83871612,165
0.84871512,139
0.85871412,170
0.86871312,170
0.87871212,150
0.88871112,146
0.89871012,159
0.90870912,210
0.91870812,134
0.92870712,152
0.93870612,132
0.94870512,146
0.95870412,114
0.96870312,137
0.97870212,131
0.98870112,147
0.99870012,156
1.00869912,124
1.01869812,148
1.02869712,158
1.03869612,168
1.04869512,136
1.05869412,107
1.06869312,142
1.07869212,122
1.08869112,107
1.09869012,98
1.10868912,94
1.11868812,90
1.12868712,108
1.13868612,105
1.14868512,93
1.15868412,98
1.16868312,106
1.17868212,96
1.18868112,93
1.19868012,97
1.20867912,106
1.21867812,84
1.22867712,83
1.23867612,67
1.24867512,70
1.25867412,88
1.26867312,89
1.27867212,64
1.28867112,60
1.29867012,66
1.30866912,70
1.31866812,50
1.32866712,44
