en,counts
0.00879912,191065
0.01879812,184998
0.02879712,111877
0.03879612,5073
0.04879512,-92793
0.05879412,-162210
0.06879312,-194042
0.07879212,-194372
0.08879112,-174293
0.09879012,-144514
0.10878912,-113213
0.11878812,-84610
0.12878712,-60850
0.13878612,-42349
0.14878512,-28525
0.15878412,-18619
0.16878312,-11757
0.17878212,-7185
0.18878112,-4250
0.19878012,-2423
0.20877912,-1333
0.21877812,-708
0.22877712,-365
0.23877612,-179
0.24877512,-88
0.25877412,-41
0.26877312,-23
0.27877212,-17
0.28877112,-20
0.29877012,-26
0.30876912,-30
0.31876812,-41
0.32876712,-50
0.33876612,-59
0.34876512,-64
0.35876412,-41
0.36876312,205
0.37876212,220
0.38876112,191
0.39876012,205
0.40875912,205
0.41875812,170
0.42875712,200
0.43875612,175
0.44875512,172
0.45875412,181
0.46875312,153
0.47875212,159
0.48875112,159
0.49875012,134
0.50874912,132
0.51874812,153
0.52874712,106
0.53874612,123
0.54874512,106
0.55874412,113
0.56874312,97
0.57874212,89
0.58874112,85
0.59874012,95
0.60873912,116
0.61873812,79
0.62873712,64
0.63873612,60
0.64873512,42
0.65873412,69
0.66873312,55
0.67873212,17
0.68873112,41
0.69873012,46
0.70872912,16
0.71872812,75
0.72872712,13
0.73872612,37
0.74872512,62
0.75872412,52
0.76872312,33
0.77872212,14
0.78872112,11
0.79872012,52
0.80871912,23
0.81871812,13
0.82871712,51
0.83871612,14
0.84871512,11
0.85871412,7
0.86871312,28
0.87871212,5
0.88871112,-5
0.89871012,0
0.90870912,41
0.91870812,2
0.92870712,13
0.93870612,3
0.94870512,13
0.95870412,1
0.96870312,-7
0.97870212,11
0.98870112,13
0.99870012,27
1.00869912,5
1.01869812,-16
1.02869712,-6
1.03869612,6
1.04869512,33
1.05869412,18
1.06869312,21
1.07869212,8
1.08869112,2
1.09869012,5
1.10868912,3
1.11868812,0
1.12868712,3
1.13868612,-11
1.14868512,8
1.15868412,5
1.16868312,16
1.17868212,10
1.18868112,-1
1.19868012,-14
1.20867912,12
1.21867812,6
1.22867712,-9
1.23867612,-9
1.24867512,-7
1.25867412,0
1.26867312,26
1.27867212,17
1.28867112,3
1.29867012,3
1.30866912,16
1.31866812,15
1.32866712,-4
1.33866612,-7
1.34866512,-1
1.35866412,-3
1.36866312,-4
1.37866212,9
1.38866112,7
1.39866012,0
1.40865912,2
1.41865812,0
1.42865712,9
1.43865612,9
1.44865512,5
1.45865412,19
1.46865312,13
1.47865212,18
1.48865112,6
1.49865012,20
1.50864912,28
1.51864812,15
1.52864712,23
1.53864612,17
1.54864512,10
1.55864412,0
1.56864312,7
1.57864212,0
1.58864112,-4
1.59864012,6
1.60863912,-4
1.61863812,-4
1.62863712,-1
1.63863612,-7
1.64863512,-8
1.65863412,1
1.66863312,3
1.67863212,-3
1.68863112,7
1.69863012,2
1.70862912,13
1.71862812,1
1.72862712,5
1.73862612,-6
1.74862512,5
1.75862412,10
1.76862312,4
1.77862212,-1
1.78862112,6
1.79862012,-3
1.80861912,-2
1.81861812,10
1.82861712,-4
1.83861612,15
1.84861512,7
1.85861412,-12
1.86861312,8
1.87861212,-1
1.88861112,13
1.89861012,14
1.90860912,1
1.91860812,11
1.92860712,3
1.93860612,2
1.94860512,-1
1.95860412,-1
1.96860312,0
1.97860212,5
1.98860112,3
1.99860012,7
2.00859912,4
2.01859812,4
2.02859712,3
2.03859612,-2
2.04859512,0
2.05859412,7
2.06859312,6
2.07859212,0
2.08859112,-5
2.09859012,-4
2.10858912,-1
2.11858812,1
2.12858712,4
2.13858612,8
2.14858512,-12
2.15858412,7
2.16858312,13
2.17858212,11
2.18858112,-2
2.19858012,0
2.20857912,-5
2.21857812,-12
2.22857712,4
2.23857612,8
2.24857512,5
2.25857412,7
2.26857312,4
2.27857212,3
2.28857112,10
2.29857012,16
2.30856912,6
2.31856812,12
2.32856712,2
2.33856612,3
2.34856512,5
2.35856412,-3
2.36856312,-7
2.37856212,3
2.38856112,3
2.39856012,3
2.40855912,-4
2.41855812,1
2.42855712,-1
2.43855612,-5
2.44855512,0
2.45855412,-7
2.46855312,-12
2.47855212,-1
2.48855112,-1
2.49855012,-18
2.50854912,-27
2.51854812,-33
2.52854712,-23
2.53854612,-32
2.54854512,-42
2.55854412,-30
2.56854312,-22
2.57854212,-13
2.58854112,23
2.59854012,56
2.60853912,90
2.61853812,143
2.62853712,191
2.63853612,255
2.64853512,296
2.65853412,352
2.66853312,418
2.67853212,437
2.68853112,461
2.69853012,463
2.70852912,434
2.71852812,410
2.72852712,383
2.73852612,320
2.74852512,274
2.75852412,239
2.76852312,218
2.77852212,203
2.78852112,209
2.79852012,255
2.80851912,290
2.81851812,317
2.82851712,359
2.83851612,363
2.84851512,355
2.85851412,330
2.86851312,340
2.87851212,311
2.88851112,263
2.89851012,228
2.90850912,193
2.91850812,194
2.92850712,187
2.93850612,189
2.94850512,172
2.95850412,160
2.96850312,141
2.97850212,137
2.98850112,96
2.99850012,95
3.00849912,84
3.01849812,25
3.02849712,0
3.03849612,-24
3.04849512,-38
3.05849412,-31
3.06849312,-26
3.07849212,-2
3.08849112,-13
3.09849012,-17
3.10848912,-17
3.11848812,-9
3.12848712,-7
3.13848612,2
3.14848512,12
3.15848412,6
3.16848312,8
3.17848212,6
3.18848112,-5
3.19848012,-12
3.20847912,0
3.21847812,-7
3.22847712,-6
3.23847612,-3
3.24847512,-5
3.25847412,-9
3.26847312,-10
3.27847212,-1
3.28847112,4
3.29847012,10
3.30846912,18
3.31846812,20
3.32846712,24
3.33846612,21
3.34846512,32
3.35846412,35
3.36846312,27
3.37846212,26
3.38846112,24
3.39846012,9
3.40845912,6
3.41845812,4
3.42845712,8
3.43845612,6
3.44845512,-3
3.45845412,-7
3.46845312,-18
3.47845212,-14
3.48845112,-5
3.49845012,-6
3.50844912,-5
3.51844812,3
3.52844712,3
3.53844612,-1
3.54844512,-7
3.55844412,-10
3.56844312,2
3.57844212,7
3.58844112,-1
3.59844012,13
3.60843912,39
3.61843812,56
3.62843712,62
3.63843612,72
3.64843512,100
3.65843412,118
3.66843312,128
3.67843212,134
3.68843112,137
3.69843012,136
3.70842912,131
3.71842812,119
3.72842712,92
3.73842612,66
3.74842512,49
3.75842412,36
3.76842312,30
3.77842212,45
3.78842112,32
3.79842012,-6
3.80841912,-8
3.81841812,-11
3.82841712,-26
3.83841612,-10
3.84841512,1
3.85841412,-1
3.86841312,0
3.87841212,-16
3.88841112,-16
3.89841012,3
3.90840912,0
3.91840812,-2
3.92840712,4
3.93840612,7
3.94840512,3
3.95840412,15
3.96840312,18
3.97840212,13
3.98840112,24
3.99840012,21
4.00839912,7
4.01839812,21
4.02839712,25
4.03839612,16
4.04839512,24
4.05839412,26
4.06839312,21
4.07839212,21
4.08839112,3
4.09839012,-7
4.10838912,3
4.11838812,-9
4.12838712,-10
4.13838612,-13
4.14838512,-8
4.15838412,9
4.16838312,8
4.17838212,13
4.18838112,2
4.19838012,-9
4.20837912,-17
4.21837812,1
4.22837712,18
4.23837612,15
4.24837512,2
4.25837412,11
4.26837312,6
4.27837212,-5
4.28837112,-15
4.29837012,-6
4.30836912,-11
4.31836812,-22
4.32836712,-7
4.33836612,4
4.34836512,2
4.35836412,-6
4.36836312,8
4.37836212,6
4.38836112,22
4.39836012,14
4.40835912,14
4.41835812,17
4.42835712,31
4.43835612,39
4.44835512,42
4.45835412,65
4.46835312,85
4.47835212,103
4.48835112,99
4.49835012,111
4.50834912,136
4.51834812,134
4.52834712,89
4.53834612,118
4.54834512,103
4.55834412,113
4.56834312,79
4.57834212,63
4.58834112,56
4.59834012,19
4.60833912,8
4.61833812,-10
4.62833712,12
4.63833612,21
4.64833512,-2
4.65833412,3
4.66833312,-4
4.67833212,-13
4.68833112,0
4.69833012,15
4.70832912,26
4.71832812,-7
4.72832712,2
4.73832612,5
4.74832512,-33
4.75832412,-19
4.76832312,7
4.77832212,-4
4.78832112,11
4.79832012,-19
4.80831912,23
4.81831812,31
4.82831712,11
4.83831612,-37
4.84831512,-17
4.85831412,14
4.86831312,6
4.87831212,3
4.88831112,1
4.89831012,-9
4.90830912,-3
4.91830812,39
4.92830712,22
4.93830612,-14
4.94830512,-14
4.95830412,-4
4.96830312,2
4.97830212,9
4.98830112,2
4.99830012,2
5.00829912,-14
5.01829812,12
5.02829712,15
5.03829612,-15
5.04829512,-27
5.05829412,-25
5.06829312,-13
5.07829212,15
5.08829112,22
5.09829012,7
5.10828912,-30
5.11828812,15
5.12828712,16
5.13828612,2
5.14828512,-7
5.15828412,-19
5.16828312,20
5.17828212,17
5.18828112,2
5.19828012,2
5.20827912,-1
5.21827812,4
5.22827712,-22
5.23827612,2
5.24827512,19
5.25827412,13
5.26827312,-7
5.27827212,0
5.28827112,-2
5.29827012,5
5.30826912,36
5.31826812,60
5.32826712,35
5.33826612,38
5.34826512,60
5.35826412,66
5.36826312,20
5.37826212,38
5.38826112,69
5.39826012,46
5.40825912,44
5.41825812,48
5.42825712,71
5.43825612,81
5.44825512,53
5.45825412,28
5.46825312,48
5.47825212,75
5.48825112,88
5.49825012,66
5.50824912,68
5.51824812,50
5.52824712,25
5.53824612,18
5.54824512,65
5.55824412,35
5.56824312,10
5.57824212,-18
5.58824112,13
5.59824012,29
5.60823912,44
5.61823812,10
5.62823712,9
5.63823612,15
5.64823512,-16
5.65823412,-16
5.66823312,-3
5.67823212,5
5.68823112,-6
5.69823012,46
5.70822912,3
5.71822812,34
5.72822712,46
5.73822612,47
5.74822512,31
5.75822412,19
5.76822312,6
5.77822212,5
5.78822112,-8
5.79822012,-32
5.80821912,-11
5.81821812,21
5.82821712,-19
5.83821612,-26
5.84821512,7
5.85821412,29
5.86821312,-2
5.87821212,62
5.88821112,64
5.89821012,16
5.90820912,19
5.91820812,-29
5.92820712,-49
5.93820612,14
5.94820512,60
5.95820412,81
5.96820312,73
5.97820212,29
5.98820112,25
5.99820012,-6
6.00819912,10
6.01819812,45
6.02819712,-1
6.03819612,-2
6.04819512,49
6.05819412,83
6.06819312,60
6.07819212,-4
6.08819112,-26
6.09819012,-69
6.10818912,3
6.11818812,49
6.12818712,18
6.13818612,36
6.14818512,12
6.15818412,18
6.16818312,54
6.17818212,33
6.18818112,6
6.19818012,-14
6.20817912,-22
6.21817812,8
