en,counts
0.00879912,304934
0.01879812,289995
0.02879712,208209
0.03879612,103654
0.04879512,2465
0.05879412,-64636
0.06879312,-95928
0.07879212,-97693
0.08879112,-81606
0.09879012,-60263
0.10878912,-39915
0.11878812,-24273
0.12878712,-13714
0.13878612,-7242
0.14878512,-3589
0.15878412,-1671
0.16878312,-733
0.17878212,-304
0.18878112,-116
0.19878012,-43
0.20877912,-15
0.21877812,-2
0.22877712,-3
0.23877612,0
0.24877512,3
0.25877412,1
0.26877312,0
0.27877212,-2
0.28877112,0
0.29877012,-7
0.30876912,-12
0.31876812,-23
0.32876712,-36
0.33876612,-48
0.34876512,-63
0.35876412,-38
0.36876312,328
0.37876212,277
0.38876112,282
0.39876012,286
0.40875912,319
0.41875812,280
0.42875712,270
0.43875612,295
0.44875512,287
0.45875412,286
0.46875312,277
0.47875212,259
0.48875112,232
0.49875012,190
0.50874912,234
0.51874812,197
0.52874712,206
0.53874612,190
0.54874512,201
0.55874412,194
0.56874312,165
0.57874212,150
0.58874112,174
0.59874012,215
0.60873912,125
0.61873812,114
0.62873712,160
0.63873612,111
0.64873512,107
0.65873412,111
0.66873312,108
0.67873212,99
0.68873112,92
0.69873012,123
0.70872912,74
0.71872812,100
0.72872712,71
0.73872612,73
0.74872512,62
0.75872412,86
0.76872312,75
0.77872212,53
0.78872112,63
0.79872012,59
0.80871912,74
0.81871812,59
0.82871712,64
0.83871612,37
0.84871512,32
0.85871412,46
0.86871312,65
0.87871212,66
0.88871112,33
0.89871012,17
0.90870912,17
0.91870812,18
0.92870712,40
0.93870612,38
0.94870512,13
0.95870412,-14
0.96870312,11
0.97870212,29
0.98870112,41
0.99870012,3
1.00869912,40
1.01869812,47
1.02869712,30
1.03869612,47
1.04869512,27
1.05869412,38
1.06869312,32
1.07869212,23
1.08869112,12
1.09869012,18
1.10868912,28
1.11868812,-4
1.12868712,23
1.13868612,26
1.14868512,20
1.15868412,19
1.16868312,8
1.17868212,-11
1.18868112,35
1.19868012,23
1.20867912,0
1.21867812,17
1.22867712,25
1.23867612,26
1.24867512,16
1.25867412,3
1.26867312,3
1.27867212,11
1.28867112,12
1.29867012,25
1.30866912,16
1.31866812,5
1.32866712,9
1.33866612,15
1.34866512,10
1.35866412,10
1.36866312,13
1.37866212,-1
1.38866112,7
1.39866012,12
1.40865912,0
1.41865812,7
1.42865712,11
1.43865612,15
1.44865512,35
1.45865412,27
1.46865312,13
1.47865212,26
1.48865112,30
1.49865012,27
1.50864912,15
1.51864812,8
1.52864712,25
1.53864612,22
1.54864512,23
1.55864412,14
1.56864312,8
1.57864212,5
1.58864112,-5
1.59864012,-4
1.60863912,13
1.61863812,8
1.62863712,2
1.63863612,7
1.64863512,0
1.65863412,-15
1.66863312,-8
1.67863212,17
1.68863112,6
1.69863012,0
1.70862912,2
1.71862812,6
1.72862712,11
1.73862612,0
1.74862512,-3
1.75862412,17
1.76862312,15
1.77862212,24
1.78862112,22
1.79862012,9
1.80861912,21
1.81861812,19
1.82861712,6
1.83861612,18
1.84861512,12
1.85861412,3
1.86861312,10
1.87861212,10
1.88861112,-8
1.89861012,21
1.90860912,2
1.91860812,15
1.92860712,15
1.93860612,10
1.94860512,12
1.95860412,0
1.96860312,-1
1.97860212,-3
1.98860112,10
1.99860012,16
2.00859912,6
2.01859812,0
2.02859712,15
2.03859612,0
2.04859512,17
2.05859412,0
2.06859312,-7
2.07859212,-9
2.08859112,0
2.09859012,9
2.10858912,7
2.11858812,8
2.12858712,-7
2.13858612,4
2.14858512,11
2.15858412,7
2.16858312,8
2.17858212,5
2.18858112,22
2.19858012,-1
2.20857912,11
2.21857812,-1
2.22857712,1
2.23857612,-2
2.24857512,-5
2.25857412,4
2.26857312,9
2.27857212,2
2.28857112,-2
2.29857012,15
2.30856912,12
2.31856812,13
2.32856712,3
2.33856612,2
2.34856512,-2
2.35856412,-1
2.36856312,2
2.37856212,5
2.38856112,7
2.39856012,2
2.40855912,-5
2.41855812,-6
2.42855712,0
2.43855612,5
2.44855512,-3
2.45855412,-1
2.46855312,8
2.47855212,4
2.48855112,-1
2.49855012,-15
2.50854912,-15
2.51854812,-5
2.52854712,-11
2.53854612,-20
2.54854512,-19
2.55854412,-14
2.56854312,19
2.57854212,58
2.58854112,76
2.59854012,100
2.60853912,153
2.61853812,199
2.62853712,260
2.63853612,330
2.64853512,382
2.65853412,445
2.66853312,478
2.67853212,520
2.68853112,549
2.69853012,515
2.70852912,480
2.71852812,431
2.72852712,402
2.73852612,367
2.74852512,325
2.75852412,269
2.76852312,253
2.77852212,240
2.78852112,256
2.79852012,274
2.80851912,307
2.81851812,330
2.82851712,328
2.83851612,357
2.84851512,348
2.85851412,354
2.86851312,326
2.87851212,272
2.88851112,272
2.89851012,235
2.90850912,248
2.91850812,235
2.92850712,224
2.93850612,230
2.94850512,204
2.95850412,215
2.96850312,207
2.97850212,213
2.98850112,225
2.99850012,204
3.00849912,141
3.01849812,101
3.02849712,69
3.03849612,31
3.04849512,37
3.05849412,17
3.06849312,7
3.07849212,18
3.08849112,38
3.09849012,34
3.10848912,75
3.11848812,78
3.12848712,95
3.13848612,92
3.14848512,112
3.15848412,107
3.16848312,73
3.17848212,52
3.18848112,45
3.19848012,32
3.20847912,10
3.21847812,-7
3.22847712,0
3.23847612,12
3.24847512,-11
3.25847412,-30
3.26847312,-25
3.27847212,8
3.28847112,17
3.29847012,13
3.30846912,38
3.31846812,66
3.32846712,60
3.33846612,59
3.34846512,67
3.35846412,54
3.36846312,47
3.37846212,49
3.38846112,32
3.39846012,15
3.40845912,6
3.41845812,9
3.42845712,15
3.43845612,6
3.44845512,-4
3.45845412,-16
3.46845312,-3
3.47845212,4
3.48845112,-11
3.49845012,-9
3.50844912,0
3.51844812,12
3.52844712,-1
3.53844612,-2
3.54844512,0
3.55844412,4
3.56844312,12
3.57844212,10
3.58844112,21
3.59844012,63
3.60843912,82
3.61843812,83
3.62843712,117
3.63843612,148
3.64843512,186
3.65843412,221
3.66843312,234
3.67843212,279
3.68843112,299
3.69843012,270
3.70842912,273
3.71842812,290
3.72842712,257
3.73842612,193
3.74842512,157
3.75842412,117
3.76842312,89
3.77842212,72
3.78842112,41
3.79842012,15
3.80841912,-12
3.81841812,-20
3.82841712,2
3.83841612,1
3.84841512,-26
3.85841412,-7
3.86841312,6
3.87841212,6
3.88841112,11
3.89841012,-5
3.90840912,-3
3.91840812,7
3.92840712,2
3.93840612,0
3.94840512,5
3.95840412,22
3.96840312,32
3.97840212,40
3.98840112,78
3.99840012,84
4.00839912,63
4.01839812,81
4.02839712,61
4.03839612,50
4.04839512,41
4.05839412,50
4.06839312,42
4.07839212,27
4.08839112,41
4.09839012,23
4.10838912,-14
4.11838812,-17
4.12838712,5
4.13838612,8
4.14838512,-7
4.15838412,-7
4.16838312,0
4.17838212,5
4.18838112,2
4.19838012,14
4.20837912,9
4.21837812,-12
4.22837712,-1
4.23837612,2
4.24837512,-6
4.25837412,8
4.26837312,13
4.27837212,-1
4.28837112,-6
4.29837012,6
4.30836912,-1
4.31836812,-5
4.32836712,-2
4.33836612,8
4.34836512,11
4.35836412,20
4.36836312,22
4.37836212,5
4.38836112,-31
4.39836012,8
4.40835912,37
4.41835812,65
4.42835712,51
4.43835612,43
4.44835512,88
4.45835412,118
4.46835312,178
4.47835212,163
4.48835112,175
4.49835012,186
4.50834912,188
4.51834812,183
4.52834712,155
4.53834612,143
4.54834512,127
4.55834412,139
4.56834312,92
4.57834212,100
4.58834112,85
4.59834012,69
4.60833912,19
4.61833812,5
4.62833712,0
4.63833612,2
4.64833512,16
4.65833412,-9
4.66833312,0
4.67833212,1
4.68833112,-11
4.69833012,0
4.70832912,29
4.71832812,-5
4.72832712,-7
4.73832612,9
4.74832512,-15
4.75832412,-25
4.76832312,-24
4.77832212,0
4.78832112,16
4.79832012,-44
4.80831912,-17
4.81831812,46
4.82831712,36
4.83831612,123
4.84831512,142
4.85831412,241
4.86831312,341
4.87831212,414
4.88831112,513
4.89831012,690
4.90830912,769
4.91830812,902
4.92830712,1029
4.93830612,1096
4.94830512,1073
4.95830412,1156
4.96830312,1072
4.97830212,1057
4.98830112,946
4.99830012,815
5.00829912,686
5.01829812,490
5.02829712,402
5.03829612,281
5.04829512,199
5.05829412,111
5.06829312,-5
5.07829212,-11
5.08829112,-13
5.09829012,-22
5.10828912,-6
5.11828812,-13
5.12828712,-51
5.13828612,0
5.14828512,6
5.15828412,8
5.16828312,-9
5.17828212,4
5.18828112,-23
5.19828012,-1
5.20827912,-10
5.21827812,-3
5.22827712,15
5.23827612,9
5.24827512,19
5.25827412,-5
5.26827312,85
5.27827212,112
5.28827112,120
5.29827012,150
5.30826912,256
5.31826812,357
5.32826712,481
5.33826612,625
5.34826512,820
5.35826412,1023
5.36826312,1153
5.37826212,1257
5.38826112,1349
5.39826012,1447
5.40825912,1519
5.41825812,1571
5.42825712,1515
5.43825612,1474
5.44825512,1354
5.45825412,1216
5.46825312,1037
5.47825212,865
5.48825112,714
5.49825012,641
5.50824912,504
5.51824812,319
5.52824712,235
5.53824612,149
5.54824512,108
5.55824412,89
5.56824312,13
5.57824212,46
5.58824112,-10
5.59824012,-50
5.60823912,9
5.61823812,-4
5.62823712,-7
5.63823612,27
5.64823512,38
5.65823412,-20
5.66823312,-25
5.67823212,19
5.68823112,-10
5.69823012,-2
5.70822912,17
5.71822812,-55
5.72822712,-55
5.73822612,-1
5.74822512,30
5.75822412,64
