Energy,Counts
-0.95110488,0
-0.94110588,0
-0.93110688,0
-0.92110788,0
-0.91110888,0
-0.90110988,0
-0.89111088,0
-0.88111188,0
-0.87111288,0
-0.86111388,0
-0.85111488,0
-0.84111588,0
-0.83111688,0
-0.82111788,0
-0.81111888,0
-0.80111988,0
-0.79112088,0
-0.78112188,0
-0.77112288,0
-0.76112388,0
-0.75112488,0
-0.74112588,0
-0.73112688,0
-0.72112788,0
-0.71112888,0
-0.70112988,0
-0.69113088,0
-0.68113188,0
-0.67113288,0
-0.66113388,0
-0.65113488,0
-0.64113588,0
-0.63113688,0
-0.62113788,0
-0.61113888,0
-0.60113988,0
-0.59114088,0
-0.58114188,0
-0.57114288,0
-0.56114388,0
-0.55114488,0
-0.54114588,0
-0.53114688,0
-0.52114788,0
-0.51114888,0
-0.50114988,0
-0.49115088,0
-0.48115188,0
-0.47115288,0
-0.46115388,0
-0.45115488,0
-0.44115588,0
-0.43115688,0
-0.42115788,0
-0.41115888,2
-0.40115988,1
-0.39116088,2
-0.38116188,5
-0.37116288,9
-0.36116388,9
-0.35116488,21
-0.34116588,13
-0.33116688,14
-0.32116788,26
-0.31116888,25
-0.30116988,13
-0.29117088,18
-0.28117188,19
-0.27117288,15
-0.26117388,21
-0.25117488,23
-0.24117588,19
-0.23117688,16
-0.22117788,18
-0.21117888,13
-0.20117988,13
-0.19118088,17
-0.18118188,17
-0.17118288,17
-0.16118388,23
-0.15118488,30
-0.14118588,49
-0.13118688,123
-0.12118788,406
-0.11118888,1368
-0.10118988,3906
-0.09119088,10711
-0.08119188,26014
-0.07119288,57461
-0.06119388,116165
-0.05119488,211311
-0.04119588,348398
-0.03119688,519435
-0.02119788,700331
-0.01119888,855607
-0.00119988,946113
0.00879912,949595
0.01879812,861192
0.02879712,707416
0.03879612,527765
0.04879512,357005
0.05879412,217861
0.06879312,120788
0.07879212,60147
0.08879112,27692
0.09879012,11471
0.10878912,4275
0.11878812,1457
0.12878712,462
0.13878612,126
0.14878512,39
0.15878412,16
0.16878312,12
0.17878212,13
0.18878112,10
0.19878012,6
0.20877912,7
0.21877812,4
0.22877712,2
0.23877612,12
0.24877512,8
0.25877412,5
0.26877312,5
0.27877212,4.692667702
0.28877112,1.159135261
0.29877012,4.766906395
0.30876912,3.1030068
0.31876812,1.875614959
0.32876712,1.259725015
0.33876612,0.607857251
0.34876512,4.958049459
0.35876412,43.9968351
0.36876312,381.3835038
0.37876212,380.1200218
0.38876112,374.9193885
0.39876012,366.6644562
0.40875912,358.4298845
0.41875812,356.2938823
0.42875712,372.7228137
0.43875612,372.3759045
0.44875512,327.747634
0.45875412,369.0099964
0.46875312,337.2814572
0.47875212,375.9197685
0.48875112,353.0899195
0.49875012,358.7633239
0.50874912,333.9206696
0.51874812,382.215991
0.52874712,320.769986
0.53874612,347.0133188
0.54874512,334.4181761
0.55874412,326.9534759
0.56874312,332.1059363
0.57874212,325.5110112
0.58874112,346.4444235
0.59874012,273.7550792
0.60873912,312.0401186
0.61873812,313.0687633
0.62873712,319.1657831
0.63873612,279.2691893
0.64873512,306.2409324
0.65873412,316.8001666
0.66873312,316.1583445
0.67873212,300.759459
0.68873112,288.8128944
0.69873012,282.6237051
0.70872912,285.4650559
0.71872812,306.2389831
0.72872712,266.5543747
0.73872612,283.6818176
0.74872512,262.7836532
0.75872412,282.2828848
0.76872312,258.4569516
0.77872212,246.4120621
0.78872112,301.430032
0.79872012,202.7505035
0.80871912,271.889926
0.81871812,269.1580023
0.82871712,254.5477305
0.83871612,246.4296797
0.84871512,264.1573646
0.85871412,255.7642722
0.86871312,233.261588
0.87871212,267.6755734
0.88871112,258.6821849
0.89871012,241.8960126
0.90870912,241.7648733
0.91870812,239.3767149
0.92870712,236.6254079
0.93870612,209.7488437
0.94870512,244.4632073
0.95870412,245.0726371
0.96870312,228.5315634
0.97870212,199.8491844
0.98870112,236.3289468
0.99870012,226.6683328
1.00869912,236.1992777
1.01869812,228.3139544
1.02869712,200.352619
1.03869612,228.6471999
1.04869512,217.8033537
1.05869412,207.2579118
1.06869312,200.7746341
1.07869212,207.650361
1.08869112,204.7005906
1.09869012,215.3221052
1.10868912,215.8690796
1.11868812,219.7662795
1.12868712,215.2438592
1.13868612,202.9411269
1.14868512,191.8047064
1.15868412,200.1710118
1.16868312,195.7426771
1.17868212,202.5218004
1.18868112,200.2594047
1.19868012,188.4073638
1.20867912,195.4978027
1.21867812,195.2274565
1.22867712,195.6277131
1.23867612,188.9586352
1.24867512,171.1934657
1.25867412,192.3267405
1.26867312,188.0879675
1.27867212,161.2193874
1.28867112,168.7996601
1.29867012,180.7750089
1.30866912,164.6964566
1.31866812,155.0273606
1.32866712,175.3116211
1.33866612,167.1669719
1.34866512,157.4823468
1.35866412,160.4769698
1.36866312,152.1512362
1.37866212,138.8412868
1.38866112,141.3187642
1.39866012,141.8854782
1.40865912,146.4708348
1.41865812,151.2986055
1.42865712,152.7819571
1.43865612,156.7646278
1.44865512,145.5855487
1.45865412,141.8819439
1.46865312,159.1221444
1.47865212,171.8517965
1.48865112,178.2625957
1.49865012,171.9689237
1.50864912,161.1978769
1.51864812,148.8521568
1.52864712,137.7570624
1.53864612,131.0655102
1.54864512,130.5172276
1.55864412,115.7161075
1.56864312,106.8449233
1.57864212,101.9610478
1.58864112,130.9825498
1.59864012,116.4121665
1.60863912,87.4747599
1.61863812,112.0390801
1.62863712,113.1249634
1.63863612,103.9808543
1.64863512,99.33959598
1.65863412,113.8283106
1.66863312,113.0277402
1.67863212,112.7257264
1.68863112,100.0828479
1.69863012,76.88895253
1.70862912,95.04130567
1.71862812,99.70716384
1.72862712,117.8781558
1.73862612,104.1983028
1.74862512,102.2527453
1.75862412,100.3288177
1.76862312,82.92899254
1.77862212,110.4202665
1.78862112,92.14738665
1.79862012,91.35431222
1.80861912,110.9166401
1.81861812,97.26901858
1.82861712,87.5334542
1.83861612,80.94109079
1.84861512,108.4594141
1.85861412,86.63806757
1.86861312,103.1175873
1.87861212,82.75521275
1.88861112,85.38499974
1.89861012,115.517351
1.90860912,104.8316648
1.91860812,81.56019497
1.92860712,92.23366976
1.93860612,77.77436027
1.94860512,79.4657364
1.95860412,95.81081331
1.96860312,74.78487031
1.97860212,79.22394226
1.98860112,104.0340131
1.99860012,88.18114466
2.00859912,88.90550777
2.01859812,85.30636627
2.02859712,77.73048611
2.03859612,82.91694145
2.04859512,87.95434186
2.05859412,87.27177289
2.06859312,84.78709314
2.07859212,66.51045098
2.08859112,64.66989982
2.09859012,87.7983023
2.10858912,66.72588305
2.11858812,76.71970228
2.12858712,71.50995008
2.13858612,67.09733983
2.14858512,78.86506969
2.15858412,76.93237687
2.16858312,71.15068754
2.17858212,66.57757743
2.18858112,67.35390032
2.19858012,68.44239268
2.20857912,72.76634599
2.21857812,64.45644126
2.22857712,71.60124261
2.23857612,78.96724156
2.24857512,81.34815382
2.25857412,78.13252241
2.26857312,85.5695069
2.27857212,85.41080522
2.28857112,70.38638841
2.29857012,75.66575558
2.30856912,83.30118693
2.31856812,72.92541753
2.32856712,80.36843641
2.33856612,87.53013256
2.34856512,79.1015439
2.35856412,73.39659467
2.36856312,81.6821712
2.37856212,69.00712155
2.38856112,63.22670687
2.39856012,67.87440174
2.40855912,66.55895428
2.41855812,68.94784089
2.42855712,65.04827952
2.43855612,62.84209415
2.44855512,73.76980157
2.45855412,70.66137226
2.46855312,62.43828616
2.47855212,64.27319973
2.48855112,68.37917131
2.49855012,75.4294067
2.50854912,84.23166386
2.51854812,82.93665609
2.52854712,91.4040568
2.53854612,112.167868
2.54854512,135.0088408
2.55854412,159.330111
2.56854312,189.6741073
2.57854212,212.501557
2.58854112,249.29731
2.59854012,297.1031394
2.60853912,350.8411742
2.61853812,393.1102212
2.62853712,436.3527437
2.63853612,490.4046844
2.64853512,534.3852719
2.65853412,602.1972591
2.66853312,661.9325972
2.67853212,676.9698146
2.68853112,692.0922938
2.69853012,700.280527
2.70852912,645.9703707
2.71852812,629.9887116
2.72852712,580.9540882
2.73852612,520.2837882
2.74852512,513.6290685
2.75852412,496.9305187
2.76852312,462.8305726
2.77852212,472.0096666
2.78852112,528.4934271
2.79852012,558.534374
2.80851912,561.8058341
2.81851812,564.9068187
2.82851712,600.4424258
2.83851612,611.4812474
2.84851512,571.2766975
2.85851412,572.9524384
2.86851312,568.8032224
2.87851212,537.0493204
2.88851112,496.9630432
2.89851012,441.0951474
2.90850912,457.48379
2.91850812,438.628518
2.92850712,400.4628828
2.93850612,377.553912
2.94850512,390.4296364
2.95850412,403.9636421
2.96850312,362.9022608
2.97850212,373.2934636
2.98850112,359.5136666
2.99850012,321.912893
3.00849912,303.3964822
3.01849812,278.8939785
3.02849712,236.7425551
3.03849612,217.9072388
3.04849512,209.1934571
3.05849412,205.3755538
3.06849312,193.3904377
3.07849212,187.7639941
3.08849112,180.5323542
3.09849012,191.3841637
3.10848912,202.1122397
3.11848812,223.1230153
3.12848712,234.6110597
3.13848612,213.398193
3.14848512,231.366841
3.15848412,216.3648703
3.16848312,189.8064044
3.17848212,194.0936042
3.18848112,204.429509
3.19848012,187.3350497
3.20847912,151.522641
3.21847812,140.218131
3.22847712,139.4952384
3.23847612,148.2211445
3.24847512,146.0763513
3.25847412,136.4458842
3.26847312,143.2335022
3.27847212,147.8022022
3.28847112,162.2978067
3.29847012,183.484323
3.30846912,180.2988562
3.31846812,179.1011266
3.32846712,199.8186602
3.33846612,191.0524272
3.34846512,196.753551
3.35846412,189.3204936
3.36846312,164.9667883
3.37846212,169.3813549
3.38846112,164.08378
3.39846012,146.6734135
3.40845912,157.3231514
3.41845812,152.564317
3.42845712,148.9339114
3.43845612,139.3100254
3.44845512,117.6193908
3.45845412,113.6868204
3.46845312,117.0992317
3.47845212,121.0669328
3.48845112,127.4686619
3.49845012,122.6383518
3.50844912,130.6356356
3.51844812,145.0063816
3.52844712,144.214193
3.53844612,139.2139046
3.54844512,156.979376
3.55844412,162.8674276
3.56844312,148.3206697
3.57844212,158.2997955
3.58844112,177.8558579
3.59844012,199.95931
3.60843912,223.1918171
3.61843812,258.9027816
3.62843712,291.72028
3.63843612,291.0740385
3.64843512,338.5694124
3.65843412,401.2993711
3.66843312,436.9488182
3.67843212,481.3707796
3.68843112,490.3450934
3.69843012,485.3449748
3.70842912,463.2772777
3.71842812,439.8815119
3.72842712,406.3803763
3.73842612,377.3310734
3.74842512,344.6703445
3.75842412,287.5833243
3.76842312,265.2698797
3.77842212,250.9827592
3.78842112,226.7212261
3.79842012,212.9102352
3.80841912,215.0034671
3.81841812,197.3236193
3.82841712,186.5692633
3.83841612,180.6296312
3.84841512,186.3807217
3.85841412,201.4891759
3.86841312,208.2549704
3.87841212,214.9313058
3.88841112,186.951735
3.89841012,195.6881259
3.90840912,217.7306637
3.91840812,221.2767679
3.92840712,241.390649
3.93840612,240.0129031
3.94840512,244.1597275
3.95840412,251.4386446
3.96840312,254.4729882
3.97840212,271.9160916
3.98840112,277.9713554
3.99840012,283.0070103
4.00839912,286.0388516
4.01839812,295.3780147
4.02839712,310.7812791
4.03839612,291.2766447
4.04839512,304.1171545
4.05839412,304.7993359
4.06839312,292.2911798
4.07839212,296.7000872
4.08839112,301.3254211
4.09839012,290.8285883
4.10838912,274.0343215
4.11838812,282.7976591
4.12838712,286.5718333
4.13838612,282.7530679
4.14838512,278.886102
4.15838412,284.2814845
4.16838312,262.8245477
4.17838212,271.3903314
4.18838112,297.478062
4.19838012,305.0360195
4.20837912,295.6729595
4.21837812,301.5692116
4.22837712,330.508586
4.23837612,326.1727871
4.24837512,307.4842634
4.25837412,319.302719
4.26837312,319.8657629
4.27837212,334.5148644
4.28837112,367.294706
4.29837012,366.0776211
4.30836912,355.4623348
4.31836812,349.1602148
4.32836712,349.4558238
4.33836612,388.0466429
4.34836512,388.0968297
4.35836412,395.1349481
4.36836312,399.1976989
4.37836212,392.3529279
4.38836112,413.257865
4.39836012,423.5066397
4.40835912,460.6195215
4.41835812,495.7736555
4.42835712,462.3225055
4.43835612,469.2562493
4.44835512,485.1100308
4.45835412,517.5566253
4.46835312,559.9674365
4.47835212,593.1152654
4.48835112,621.142729
4.49835012,616.1239146
4.50834912,628.7429215
4.51834812,660.5848133
4.52834712,653.2522705
4.53834612,645.6332307
4.54834512,626.8213347
4.55834412,616.1861438
4.56834312,605.4592529
4.57834212,622.7995759
4.58834112,576.1664888
4.59834012,586.5183296
4.60833912,568.9867961
4.61833812,564.1065424
4.62833712,597.2113722
4.63833612,596.0186287
4.64833512,578.0722326
4.65833412,566.5981454
4.66833312,593.2922981
4.67833212,605.2538506
4.68833112,604.866174
4.69833012,636.405008
4.70832912,624.7188698
4.71832812,640.7396062
4.72832712,661.3799231
4.73832612,644.177766
4.74832512,652.4652306
4.75832412,640.5000631
4.76832312,664.8952717
4.77832212,692.8546334
4.78832112,692.1390367
4.79832012,734.0327055
4.80831912,704.2870349
4.81831812,735.8381689
4.82831712,796.4097125
4.83831612,835.1138152
4.84831512,874.9752055
4.85831412,952.5362914
4.86831312,1003.152389
4.87831212,1112.363501
4.88831112,1199.400569
4.89831012,1273.535647
4.90830912,1339.011342
4.91830812,1456.012202
4.92830712,1546.631164
4.93830612,1542.422863
4.94830512,1562.233613
4.95830412,1623.850133
4.96830312,1605.707545
4.97830212,1538.720679
4.98830112,1479.941603
4.99830012,1472.027814
5.00829912,1383.580339
5.01829812,1319.70839
5.02829712,1272.0056
5.03829612,1181.206659
5.04829512,1137.175332
5.05829412,1135.616023
5.06829312,1100.26478
5.07829212,1083.144278
5.08829112,1084.182063
5.09829012,1074.230262
5.10828912,1071.786154
5.11828812,1094.404748
5.12828712,1116.191952
5.13828612,1125.401526
5.14828512,1121.432041
5.15828412,1176.19625
5.16828312,1197.694574
5.17828212,1159.595357
5.18828112,1173.897101
5.19828012,1233.953672
5.20827912,1198.988532
5.21827812,1254.624859
5.22827712,1269.650116
5.23827612,1258.7144
5.24827512,1307.116022
5.25827412,1366.177439
5.26827312,1390.41734
5.27827212,1496.316187
5.28827112,1532.153589
5.29827012,1546.313945
5.30826912,1610.3115
5.31826812,1713.793461
5.32826712,1733.750824
5.33826612,1840.213237
5.34826512,1967.274977
5.35826412,2051.749449
5.36826312,2152.793757
5.37826212,2302.74477
5.38826112,2384.858036
5.39826012,2474.243527
5.40825912,2549.541669
5.41825812,2529.04284
5.42825712,2466.915946
5.43825612,2473.001242
5.44825512,2448.772299
5.45825412,2404.363858
5.46825312,2337.67884
5.47825212,2269.247017
5.48825112,2148.110326
5.49825012,2145.2012
5.50824912,2059.207499
5.51824812,1981.633828
5.52824712,1967.495819
5.53824612,1946.786355
5.54824512,1928.750333
5.55824412,1905.218356
5.56824312,1956.114079
5.57824212,1924.249801
5.58824112,1869.529053
5.59824012,1923.122367
5.60823912,1960.519209
5.61823812,1949.930696
5.62823712,1971.17095
5.63823612,1989.965205
5.64823512,2035.839117
5.65823412,2033.824946
5.66823312,1999.941117
5.67823212,2007.69208
5.68823112,2068.855611
5.69823012,2157.923193
5.70822912,2089.035134
5.71822812,2050.543622
5.72822712,2062.721902
5.73822612,2157.869518
5.74822512,2204.748984
5.75822412,2261.428058
5.76822312,2336.629917
5.77822212,2351.074683
5.78822112,2451.076188
5.79822012,2453.883893
5.80821912,2537.573203
5.81821812,2651.376309
5.82821712,2720.039506
5.83821612,2873.258239
5.84821512,3024.826199
5.85821412,3120.083913
5.86821312,3196.199223
5.87821212,3294.59923
5.88821112,3323.39372
5.89821012,3323.603834
5.90820912,3376.72291
5.91820812,3351.630807
5.92820712,3287.284744
5.93820612,3233.744054
5.94820512,3159.308485
5.95820412,3086.094024
5.96820312,3100.921521
5.97820212,3059.494865
5.98820112,2921.517209
5.99820012,2861.518421
6.00819912,2878.690927
6.01819812,2860.020329
6.02819712,2749.119042
6.03819612,2730.480771
6.04819512,2733.03224
6.05819412,2705.351239
6.06819312,2713.088834
6.07819212,2681.503455
6.08819112,2693.069965
6.09819012,2706.112337
6.10818912,2746.263386
6.11818812,2737.635532
6.12818712,2780.468304
6.13818612,2784.172825
6.14818512,2811.997649
6.15818412,2877.984033
6.16818312,2878.101904
6.17818212,2926.571154
6.18818112,2953.785943
6.19818012,2892.058677
6.20817912,2923.847645
6.21817812,2999.004571
6.22817712,2986.695074
6.23817612,2947.330602
6.24817512,2959.759232
6.25817412,3034.919035
6.26817312,3172.748115
6.27817212,3258.825641
6.28817112,3362.625993
6.29817012,3420.686728
6.30816912,3426.910982
