Energy,Counts
-0.95110488,0
-0.94110588,0
-0.93110688,0
-0.92110788,0
-0.91110888,0
-0.90110988,0
-0.89111088,0
-0.88111188,0
-0.87111288,0
-0.86111388,0
-0.85111488,0
-0.84111588,0
-0.83111688,0
-0.82111788,0
-0.81111888,0
-0.80111988,0
-0.79112088,0
-0.78112188,0
-0.77112288,0
-0.76112388,0
-0.75112488,0
-0.74112588,0
-0.73112688,0
-0.72112788,0
-0.71112888,0
-0.70112988,0
-0.69113088,0
-0.68113188,0
-0.67113288,0
-0.66113388,0
-0.65113488,0
-0.64113588,0
-0.63113688,0
-0.62113788,0
-0.61113888,0
-0.60113988,0
-0.59114088,0
-0.58114188,0
-0.57114288,0
-0.56114388,0
-0.55114488,0
-0.54114588,0
-0.53114688,0
-0.52114788,0
-0.51114888,0
-0.50114988,0
-0.49115088,0
-0.48115188,0
-0.47115288,0
-0.46115388,0
-0.45115488,0
-0.44115588,0
-0.43115688,0
-0.42115788,2
-0.41115888,1
-0.40115988,2
-0.39116088,1
-0.38116188,4
-0.37116288,5
-0.36116388,14
-0.35116488,13
-0.34116588,16
-0.33116688,14
-0.32116788,20
-0.31116888,13
-0.30116988,20
-0.29117088,16
-0.28117188,20
-0.27117288,9
-0.26117388,24
-0.25117488,14
-0.24117588,26
-0.23117688,20
-0.22117788,13
-0.21117888,26
-0.20117988,14
-0.19118088,20
-0.18118188,26
-0.17118288,20
-0.16118388,16
-0.15118488,31
-0.14118588,40
-0.13118688,144
-0.12118788,463
-0.11118888,1399
-0.10118988,4049
-0.09119088,10873
-0.08119188,26728
-0.07119288,58921
-0.06119388,118685
-0.05119488,215875
-0.04119588,354553
-0.03119688,528428
-0.02119788,713450
-0.01119888,871924
-0.00119988,965648
0.00879912,968795
0.01879812,878848
0.02879712,721263
0.03879612,540309
0.04879512,363153
0.05879412,222601
0.06879312,123231
0.07879212,61669
0.08879112,28374
0.09879012,11565
0.10878912,4403
0.11878812,1543
0.12878712,485
0.13878612,136
0.14878512,36
0.15878412,15
0.16878312,10
0.17878212,8
0.18878112,10
0.19878012,7
0.20877912,6
0.21877812,9
0.22877712,4
0.23877612,5
0.24877512,8
0.25877412,6
0.26877312,5
0.27877212,1.2915553
0.28877112,4.736859036
0.29877012,1.588054822
0.30876912,1.585986928
0.31876812,0.117475323
0.32876712,0.537371712
0.33876612,3.491008856
0.34876512,2.578854272
0.35876412,35.84765462
0.36876312,403.8153296
0.37876212,352.3088306
0.38876112,357.6155742
0.39876012,361.5835749
0.40875912,396.3535541
0.41875812,358.9472975
0.42875712,351.2458501
0.43875612,378.9843033
0.44875512,374.4861914
0.45875412,378.7594295
0.46875312,377.4363275
0.47875212,368.0136189
0.48875112,350.3166726
0.49875012,316.2092353
0.50874912,365.9138263
0.51874812,329.2822828
0.52874712,339.9258183
0.53874612,324.9606172
0.54874512,337.577584
0.55874412,332.0086411
0.56874312,306.3495201
0.57874212,293.0075782
0.58874112,321.4230447
0.59874012,366.1911691
0.60873912,280.2607242
0.61873812,273.5076903
0.62873712,324.4351815
0.63873612,279.9859508
0.64873512,280.4578595
0.65873412,284.2237629
0.66873312,282.9514663
0.67873212,274.9453592
0.68873112,269.7790396
0.69873012,301.6462667
0.70872912,255.3597692
0.71872812,282.6998505
0.72872712,255.5180563
0.73872612,259.1717124
0.74872512,250.9896248
0.75872412,277.0859257
0.76872312,269.3092244
0.77872212,248.6289476
0.78872112,259.0009414
0.79872012,255.2807275
0.80871912,270.9656435
0.81871812,256.4443752
0.82871712,262.3140401
0.83871612,235.4323276
0.84871512,230.9826373
0.85871412,245.3921074
0.86871312,265.1328652
0.87871212,266.9034534
0.88871112,235.2926138
0.89871012,219.9048358
0.90870912,219.244092
0.91870812,219.8320335
0.92870712,240.9945592
0.93870612,238.2275247
0.94870512,213.4561515
0.95870412,184.4694304
0.96870312,210.5094846
0.97870212,228.6275128
0.98870112,240.4820207
0.99870012,202.3338765
1.00869912,238.3515271
1.01869812,244.6131486
1.02869712,226.8339491
1.03869612,242.6355953
1.04869512,222.0191057
1.05869412,231.4115507
1.06869312,224.2206369
1.07869212,213.9025904
1.08869112,201.8369749
1.09869012,207.5867874
1.10868912,216.6919005
1.11868812,182.0455703
1.12868712,209.3533382
1.13868612,210.9350907
1.14868512,203.7806359
1.15868412,201.3021025
1.16868312,188.8320594
1.17868212,167.4523484
1.18868112,212.6636265
1.19868012,199.645433
1.20867912,174.7478729
1.21867812,189.7815936
1.22867712,196.6295904
1.23867612,195.9348536
1.24867512,184.2580486
1.25867412,170.3113103
1.26867312,168.4879617
1.27867212,175.6328411
1.28867112,174.5221995
1.29867012,186.3571768
1.30866912,175.5238228
1.31866812,162.0916593
1.32866712,164.8895363
1.33866612,168.5481348
1.34866512,161.5755773
1.35866412,160.0335472
1.36866312,161.5220252
1.37866212,145.0592681
1.38866112,151.593733
1.39866012,155.992438
1.40865912,140.501574
1.41865812,146.9472707
1.42865712,149.3888321
1.43865612,151.3281858
1.44865512,169.1934213
1.45865412,159.7483841
1.46865312,142.8653918
1.47865212,153.651012
1.48865112,156.2295536
1.49865012,150.9015201
1.50864912,137.618052
1.51864812,129.0895643
1.52864712,144.8473444
1.53864612,140.3214985
1.54864512,139.549132
1.55864412,129.0291621
1.56864312,120.7758813
1.57864212,116.1792025
1.58864112,102.8021832
1.59864012,102.4411724
1.60863912,118.0854151
1.61863812,109.6857984
1.62863712,101.1949003
1.63863612,104.1859365
1.64863512,94.71083882
1.65863412,77.73468073
1.66863312,83.45435899
1.67863212,109.5206621
1.68863112,97.808325
1.69863012,91.75321907
1.70862912,94.17881309
1.71862812,98.64097868
1.72862712,103.0571117
1.73862612,91.65146012
1.74862512,86.99805361
1.75862412,107.5234791
1.76862312,104.2012001
1.77862212,113.1407701
1.78862112,109.762224
1.79862012,96.62950244
1.80861912,108.0804665
1.81861812,105.7156111
1.82861712,92.34842173
1.83861612,103.9657591
1.84861512,98.08922627
1.85861412,88.61840841
1.86861312,95.76339549
1.87861212,95.22028592
1.88861112,75.71774233
1.89861012,105.176745
1.90860912,85.59865024
1.91860812,97.44915799
1.92860712,97.32984441
1.93860612,91.07079159
1.94860512,92.77115554
1.95860412,80.96893703
1.96860312,78.57038054
1.97860212,76.11777781
1.98860112,90.41208866
1.99860012,95.82862127
2.00859912,85.60637437
2.01859812,78.6703725
2.02859712,93.15146293
2.03859612,77.39030168
2.04859512,94.21257665
2.05859412,76.60034839
2.06859312,67.71573858
2.07859212,65.38759191
2.08859112,73.68191381
2.09859012,83.26975114
2.10858912,81.84065265
2.11858812,82.7583711
2.12858712,66.07286216
2.13858612,77.97191933
2.14858512,85.11386668
2.15858412,80.76260201
2.16858312,80.74104169
2.17858212,77.9646717
2.18858112,94.59270291
2.19858012,71.08919523
2.20857912,83.0578651
2.21857812,70.78362871
2.22857712,73.18903765
2.23857612,69.50600553
2.24857512,65.72150477
2.25857412,75.28782265
2.26857312,80.50839644
2.27857212,73.43817503
2.28857112,68.42459599
2.29857012,85.74071579
2.30856912,82.73258663
2.31856812,83.51966397
2.32856712,73.43751761
2.33856612,72.829461
2.34856512,67.35058797
2.35856412,68.43511104
2.36856312,71.97667534
2.37856212,75.23116161
2.38856112,76.29678719
2.39856012,71.82392206
2.40855912,63.38636971
2.41855812,63.37335816
2.42855712,69.13829763
2.43855612,76.47547591
2.44855512,68.39769453
2.45855412,70.85674429
2.46855312,82.57999183
2.47855212,81.06795416
2.48855112,77.8259858
2.49855012,69.03650576
2.50854912,74.59311997
2.51854812,92.81377151
2.52854712,97.25768229
2.53854612,102.2171684
2.54854512,118.8001216
2.55854412,132.4509818
2.56854312,167.3805148
2.57854212,207.2058448
2.58854112,225.67214
2.59854012,251.2340316
2.60853912,306.6151114
2.61853812,354.1851574
2.62853712,417.8894763
2.63853612,491.2061075
2.64853512,547.0171039
2.65853412,614.3432707
2.66853312,653.0473478
2.67853212,702.5210801
2.68853112,740.2885367
2.69853012,714.4791264
2.70852912,687.7732813
2.71852812,639.6256405
2.72852712,611.6235376
2.73852612,577.1058213
2.74852512,536.1888045
2.75852412,481.8026384
2.76852312,467.0807274
2.77852212,456.0490902
2.78852112,474.3644198
2.79852012,494.5778374
2.80851912,530.2306325
2.81851812,556.7104183
2.82851712,557.840472
2.83851612,591.1055765
2.84851512,585.6524263
2.85851412,593.6594526
2.86851312,565.5616651
2.87851212,510.5126521
2.88851112,511.2297403
2.89851012,473.7363363
2.90850912,487.2366251
2.91850812,474.4474123
2.92850712,463.3929835
2.93850612,469.5146545
2.94850512,442.8158349
2.95850412,453.4617966
2.96850312,446.7095142
2.97850212,453.490781
2.98850112,466.6958748
2.99850012,445.322878
3.00849912,380.0221591
3.01849812,338.4925389
3.02849712,304.6536885
3.03849612,264.7362503
3.04849512,269.4236234
3.05849412,247.6253656
3.06849312,234.8430474
3.07849212,243.8799667
3.08849112,260.4643422
3.09849012,254.6894144
3.10848912,293.8199459
3.11848812,296.2727487
3.12848712,312.4912414
3.13848612,308.7618576
3.14848512,326.853376
3.15848412,320.6068217
3.16848312,284.181814
3.17848212,261.9868618
3.18848112,252.4348922
3.19848012,235.4099517
3.20847912,209.2159374
3.21847812,186.4724529
3.22847712,187.7155051
3.23847612,195.9130507
3.24847512,168.0172517
3.25847412,146.6007066
3.26847312,149.8506047
3.27847212,182.6165471
3.28847112,190.8882948
3.29847012,186.0110448
3.30846912,209.8131732
3.31846812,236.2564289
3.32846712,228.4450075
3.33846612,225.7842543
3.34846512,232.5352799
3.35846412,217.4515075
3.36846312,210.1450919
3.37846212,211.1086916
3.38846112,193.8965604
3.39846012,176.2581147
3.40845912,166.2116833
3.41845812,167.9725437
3.42845712,172.8979796
3.43845612,162.3580553
3.44845512,149.994512
3.45845412,136.5762218
3.46845312,148.3095031
3.47845212,156.4892008
3.48845112,142.080331
3.49845012,145.6256822
3.50844912,159.1499342
3.51844812,174.1581587
3.52844712,163.9022341
3.53844612,166.6276547
3.54844512,170.8360382
3.55844412,177.1137073
3.56844312,184.5333355
3.57844212,181.470888
3.58844112,191.1754001
3.59844012,232.8864064
3.60843912,252.5647162
3.61843812,254.3981306
3.62843712,291.3272961
3.63843612,324.9087266
3.64843512,365.4705754
3.65843412,403.8157293
3.66843312,417.7144551
3.67843212,462.8372387
3.68843112,482.8103976
3.69843012,455.4835245
3.70842912,458.8776539
3.71842812,475.3466379
3.72842712,442.2683061
3.73842612,379.3975367
3.74842512,344.9193246
3.75842412,307.5541466
3.76842312,283.0369619
3.77842212,269.4033355
3.78842112,240.7798966
3.79842012,217.2463493
3.80841912,192.1703874
3.81841812,183.6926127
3.82841712,203.6331775
3.83841612,200.0379213
3.84841512,171.1931232
3.85841412,189.7018445
3.86841312,205.6039383
3.87841212,208.9077859
3.88841112,217.0185868
3.89841012,203.7758163
3.90840912,209.9670809
3.91840812,224.2824065
3.92840712,221.711065
3.93840612,222.9486494
3.94840512,229.8301643
3.95840412,249.180385
3.96840312,261.8768131
3.97840212,272.7739511
3.98840112,313.7027717
3.99840012,322.5818725
4.00839912,304.225267
4.01839812,324.7938485
4.02839712,307.8012658
4.03839612,300.8043448
4.04839512,294.213754
4.05839412,307.1932025
4.06839312,302.273464
4.07839212,290.3193396
4.08839112,308.3646797
4.09839012,293.6967272
4.10838912,258.6924376
4.11838812,257.9264269
4.12838712,282.9990228
4.13838612,288.1532357
4.14838512,274.3460971
4.15838412,277.5019251
4.16838312,288.1878878
4.17838212,298.9227908
4.18838112,299.5090664
4.19838012,316.1147058
4.20837912,315.8890281
4.21837812,298.7271731
4.22837712,315.0929394
4.23837612,323.9328574
4.24837512,320.1095002
4.25837412,341.1050257
4.26837312,352.1719577
4.27837212,344.1167964
4.28837112,344.8939055
4.29837012,364.8693934
4.30836912,364.1952729
4.31836812,367.3362357
4.32836712,377.636676
4.33836612,396.8054346
4.34836512,407.5125804
4.35836412,424.4864218
4.36836312,435.2257968
4.37836212,424.9495767
4.38836112,392.9008689
4.39836012,438.6313576
4.40835912,473.7835531
4.41835812,507.9352306
4.42835712,499.7434806
4.43835612,498.9360285
4.44835512,550.7528861
4.45835412,588.9806011
4.46835312,656.4993484
4.47835212,650.149943
4.48835112,670.4474444
4.49835012,688.861941
4.50834912,697.5040158
4.51834812,698.3787175
4.52834712,676.9625099
4.53834612,670.2893371
4.54834512,659.6640397
4.55834412,678.1084493
4.56834312,637.442878
4.57834212,652.0049144
4.58834112,645.1969398
4.59834012,637.0721115
4.60833912,595.1774402
4.61833812,590.1177997
4.62833712,593.1081064
4.63833612,602.9440646
4.64833512,623.6570149
4.65833412,603.3104812
4.66833312,616.9704246
4.67833212,623.96692
4.68833112,616.5072936
4.69833012,634.3262007
4.70832912,669.8694852
4.71832812,641.8998977
4.72832712,647.6495046
4.73832612,673.8240673
4.74832512,660.4117777
4.75832412,663.6579488
4.76832312,679.8000568
4.77832212,723.5881465
4.78832112,762.6053294
4.79832012,723.3144541
4.80831912,768.6010499
4.81831812,839.7911169
4.82831712,834.1717938
4.83831612,925.5087044
4.84831512,951.6917144
4.85831412,1058.745662
4.86831312,1167.6744
4.87831212,1251.763893
4.88831112,1364.543276
4.89831012,1557.030625
4.90830912,1655.254782
4.91830812,1808.100522
4.92830712,1953.193903
4.93830612,2034.370169
4.94830512,2022.70804
4.95830412,2114.242922
4.96830312,2036.667114
4.97830212,2026.097423
4.98830112,1922.114183
4.99830012,1800.727954
5.00829912,1681.480823
5.01829812,1497.941042
5.02829712,1425.628033
5.03829612,1322.850284
5.04829512,1261.503641
5.05829412,1195.179418
5.06829312,1101.28112
5.07829212,1108.878937
5.08829112,1113.789447
5.09829012,1105.593676
5.10828912,1120.860232
5.11828812,1116.034306
5.12828712,1084.304088
5.13828612,1146.180722
5.14828512,1165.438884
5.15828412,1182.399095
5.16828312,1182.881003
5.17828212,1216.201368
5.18828112,1210.366264
5.19828012,1256.272077
5.20827912,1272.276044
5.21827812,1305.770519
5.22827712,1351.756953
5.23827612,1369.257003
5.24827512,1397.848222
5.25827412,1379.361651
5.26827312,1479.361828
5.27827212,1518.495074
5.28827112,1540.724491
5.29827012,1584.407961
5.30826912,1703.629671
5.31826812,1817.982496
5.32826712,1957.873582
5.33826612,2119.280372
5.34826512,2334.342104
5.35826412,2559.848853
5.36826312,2712.022092
5.37826212,2838.273531
5.38826112,2950.442501
5.39826012,3066.139008
5.40825912,3151.859468
5.41825812,3220.675357
5.42825712,3182.376461
5.43825612,3157.670752
5.44825512,3048.49177
5.45825412,2920.721257
5.46825312,2752.944492
5.47825212,2593.421451
5.48825112,2455.893712
5.49825012,2398.50494
5.50824912,2279.651352
5.51824812,2113.428341
5.52824712,2048.990912
5.53824612,1981.291624
5.54824512,1958.014921
5.55824412,1959.623957
5.56824312,1907.239491
5.57824212,1966.39735
5.58824112,1923.44433
5.59824012,1892.110559
5.60823912,1957.498794
5.61823812,1950.594472
5.62823712,1956.699934
5.63823612,2003.177468
5.64823512,2025.709265
5.65823412,1980.735029
5.66823312,1990.976532
5.67823212,2052.441602
5.68823112,2040.955148
5.69823012,2070.559617
5.70822912,2116.612335
5.71822812,2073.615693
5.72822712,2106.451743
5.73822612,2188.140805
5.74822512,2230.251707
5.75822412,2273.982252
5.76822312,2339.18093
5.77822212,2417.26844
5.78822112,2483.69379
5.79822012,2594.176941
5.80821912,2748.235808
5.81821812,2901.094878
5.82821712,3097.156809
5.83821612,3211.845517
5.84821512,3384.238903
5.85821412,3626.680555
5.86821312,3759.117203
5.87821212,3870.940723
5.88821112,3986.169851
5.89821012,4026.07289
5.90820912,4027.763064
5.91820812,3944.754283
5.92820712,3839.12264
5.93820612,3799.805278
5.94820512,3688.865323
5.95820412,3555.804137
5.96820312,3441.181705
5.97820212,3332.873401
5.98820112,3163.139102
5.99820012,3100.066761
6.00819912,3002.797961
6.01819812,2840.331434
6.02819712,2783.339962
6.03819612,2757.384563
6.04819512,2748.55735
6.05819412,2754.670209
6.06819312,2736.254476
6.07819212,2702.135914
6.08819112,2770.478497
6.09819012,2803.6705
6.10818912,2776.380897
6.11818812,2767.676866
6.12818712,2780.856685
6.13818612,2774.291438
6.14818512,2813.151759
6.15818412,2816.08225
6.16818312,2810.13034
6.17818212,2844.464287
6.18818112,2876.347508
6.19818012,2910.057662
6.20817912,2898.942483
6.21817812,2928.429318
6.22817712,2958.030465
6.23817612,2991.203637
6.24817512,3088.36986
6.25817412,3160.32501
6.26817312,3230.219154
6.27817212,3352.626127
6.28817112,3434.35804
6.29817012,3486.411528
